Species,Common Names,Ranking,Plant Type,Plant Url
Botrychium ascendens,Upswept Moonwort,,Fern,http://calscape.org/Botrychium-ascendens-(Upswept-Moonwort)
Botrychium crenulatum,Scalloped Moonwort,,Fern,http://calscape.org/Botrychium-crenulatum-(Scalloped-Moonwort)
Botrychium lunaria,Common Moonwort,,Fern,http://calscape.org/Botrychium-lunaria-(Common-Moonwort)
Botrychium minganense,Mingan Moonwort,,Fern,http://calscape.org/Botrychium-minganense-(Mingan-Moonwort)
Botrychium montanum,Western Goblin,,Fern,http://calscape.org/Botrychium-montanum-(Western-Goblin)
Botrychium paradoxum,Paradox Moonwort,,Fern,http://calscape.org/Botrychium-paradoxum-(Paradox-Moonwort)
Botrychium pinnatum,Northwestern Moonwort,,Fern,http://calscape.org/Botrychium-pinnatum-(Northwestern-Moonwort)
Botrychium pumicola,Pumice Moonwort,,Fern,http://calscape.org/Botrychium-pumicola-(Pumice-Moonwort)
Botrychium simplex,,,Fern,http://calscape.org/Botrychium-simplex-()
Botrychium simplex var. compositum,Yosemite Moonwort,,Fern,http://calscape.org/Botrychium-simplex-var.-compositum-(Yosemite-Moonwort)
Botrychium simplex var. simplex,Least Moonwort,,Fern,http://calscape.org/Botrychium-simplex-var.-simplex-(Least-Moonwort)
Botrypus virginianus,,,Fern,http://calscape.org/Botrypus-virginianus-()
Bouteloua aristidoides,Needle Grama,,Grasses,http://calscape.org/Bouteloua-aristidoides-(Needle-Grama)
Bouteloua aristidoides var. aristidoides,Needle Grama,,Grasses,http://calscape.org/Bouteloua-aristidoides-var.-aristidoides-(Needle-Grama)
Bouteloua barbata,,,Grasses,http://calscape.org/Bouteloua-barbata-()
Bouteloua barbata var. barbata,Sixweeks Grama,,Grasses,http://calscape.org/Bouteloua-barbata-var.-barbata-(Sixweeks-Grama)
Bouteloua curtipendula,Side Oats Grama,,Grasses,http://calscape.org/Bouteloua-curtipendula-(Side-Oats-Grama)
Bouteloua eriopoda,Black Grama,,Grasses,http://calscape.org/Bouteloua-eriopoda-(Black-Grama)
Bouteloua gracilis,Blue Grama,,Grasses,http://calscape.org/Bouteloua-gracilis-(Blue-Grama)
Bouteloua trifida,Three-awned Grama,,Grasses,http://calscape.org/Bouteloua-trifida-(Three-awned-Grama)
Bowlesia incana,,,Annual herb,http://calscape.org/Bowlesia-incana-()
Boykinia major,Stream Boykinia,,Perennial herb,http://calscape.org/Boykinia-major-(Stream-Boykinia)
Boykinia occidentalis,Brook Foam,,Perennial herb,http://calscape.org/Boykinia-occidentalis-(Brook-Foam)
Boykinia rotundifolia,Round Leaved Boykinia,,Perennial herb,http://calscape.org/Boykinia-rotundifolia-(Round-Leaved-Boykinia)
Brandegea bigelovii,,,Perennial herb,http://calscape.org/Brandegea-bigelovii-()
Brasenia schreberi,,,Perennial herb,http://calscape.org/Brasenia-schreberi-()
Brickellia atractyloides,,,Shrub,http://calscape.org/Brickellia-atractyloides-()
Brickellia atractyloides var. arguta,Pungent Brickellbush,,Shrub,http://calscape.org/Brickellia-atractyloides-var.-arguta-(Pungent-Brickellbush)
Brickellia atractyloides var. atractyloides,Spearleaf Brickellbush,,Shrub,http://calscape.org/Brickellia-atractyloides-var.-atractyloides-(Spearleaf-Brickellbush)
Brickellia atractyloides var. odontolepis,,,Shrub,http://calscape.org/Brickellia-atractyloides-var.-odontolepis-()
Brickellia californica,Brickell Bush,,Perennial herb,http://calscape.org/Brickellia-californica-(Brickell-Bush)
Brickellia desertorum,,,Shrub,http://calscape.org/Brickellia-desertorum-()
Brickellia frutescens,,,Shrub,http://calscape.org/Brickellia-frutescens-()
Brickellia grandiflora,,,Perennial herb,http://calscape.org/Brickellia-grandiflora-()
Brickellia greenei,,,Perennial herb,http://calscape.org/Brickellia-greenei-()
Brickellia incana,,,Perennial herb,http://calscape.org/Brickellia-incana-()
Brickellia knappiana,,,Shrub,http://calscape.org/Brickellia-knappiana-()
Brickellia longifolia,,,Shrub,http://calscape.org/Brickellia-longifolia-()
Brickellia longifolia var. multiflora,,,Shrub,http://calscape.org/Brickellia-longifolia-var.-multiflora-()
Brickellia microphylla,,,Shrub,http://calscape.org/Brickellia-microphylla-()
Brickellia microphylla var. microphylla,,,Shrub,http://calscape.org/Brickellia-microphylla-var.-microphylla-()
Brickellia nevinii,Nevin's Brickellbush,,Shrub,http://calscape.org/Brickellia-nevinii-(Nevin's-Brickellbush)
Brickellia oblongifolia,,,Perennial herb,http://calscape.org/Brickellia-oblongifolia-()
Brickellia oblongifolia var. linifolia,,,Perennial herb,http://calscape.org/Brickellia-oblongifolia-var.-linifolia-()
Brodiaea appendiculata,Hoover's Brodiaea,,Perennial herb,http://calscape.org/Brodiaea-appendiculata-(Hoover's-Brodiaea)
Brodiaea californica,California Brodiaea,,Perennial herb,http://calscape.org/Brodiaea-californica-(California-Brodiaea)
Brodiaea coronaria,Early Harvest Brodiaea,,Perennial herb,http://calscape.org/Brodiaea-coronaria-(Early-Harvest-Brodiaea)
Brodiaea elegans,Harvest Brodiaea,,Perennial herb,http://calscape.org/Brodiaea-elegans-(Harvest-Brodiaea)
Brodiaea elegans ssp. elegans,Harvest Brodiaea,,Perennial herb,http://calscape.org/Brodiaea-elegans-ssp.-elegans-(Harvest-Brodiaea)
Brodiaea filifolia,Threadleaf Brodiaea,,Perennial herb,http://calscape.org/Brodiaea-filifolia-(Threadleaf-Brodiaea)
Brodiaea insignis,Kaweah Brodiaea,,Perennial herb,http://calscape.org/Brodiaea-insignis-(Kaweah-Brodiaea)
Brodiaea jolonensis,Dwarf Brodiaea,,Perennial herb,http://calscape.org/Brodiaea-jolonensis-(Dwarf-Brodiaea)
Brodiaea kinkiensis,San Clemente Island Brodiaea,,Perennial herb,http://calscape.org/Brodiaea-kinkiensis-(San-Clemente-Island-Brodiaea)
Brodiaea leptandra,Sonoma Brodiaea,,Perennial herb,http://calscape.org/Brodiaea-leptandra-(Sonoma-Brodiaea)
Brodiaea minor,Sierra Brodiaea,,Perennial herb,http://calscape.org/Brodiaea-minor-(Sierra-Brodiaea)
Brodiaea nana,Dwarf Brodiaea,,Perennial herb,http://calscape.org/Brodiaea-nana-(Dwarf-Brodiaea)
Brodiaea orcuttii,Orcutt's Brodiaea,,Perennial herb,http://calscape.org/Brodiaea-orcuttii-(Orcutt's-Brodiaea)
Brodiaea pallida,Chinese Camp Brodiaea,,Perennial herb,http://calscape.org/Brodiaea-pallida-(Chinese-Camp-Brodiaea)
Brodiaea rosea,Indian Valley Brodiaea,,Perennial herb,http://calscape.org/Brodiaea-rosea-(Indian-Valley-Brodiaea)
Brodiaea santarosae,Santa Rosa Basalt Brodiaea,,Perennial herb,http://calscape.org/Brodiaea-santarosae-(Santa-Rosa-Basalt-Brodiaea)
Brodiaea sierrae,Sierra Foothills Brodiaea,,Perennial herb,http://calscape.org/Brodiaea-sierrae-(Sierra-Foothills-Brodiaea)
Brodiaea stellaris,Star Flowered Brodiaea,,Perennial herb,http://calscape.org/Brodiaea-stellaris-(Star-Flowered-Brodiaea)
Brodiaea terrestris,Dwarf Brodiaea,,Perennial herb,http://calscape.org/Brodiaea-terrestris-(Dwarf-Brodiaea)
Brodiaea terrestris ssp. kernensis,,,Perennial herb,http://calscape.org/Brodiaea-terrestris-ssp.-kernensis-()
Brodiaea terrestris ssp. terrestris,Dwarf Brodiaea,,Perennial herb,http://calscape.org/Brodiaea-terrestris-ssp.-terrestris-(Dwarf-Brodiaea)
Bromus arizonicus,Arizona Brome,,Grasses,http://calscape.org/Bromus-arizonicus-(Arizona-Brome)
Bromus carinatus,California Brome Grass,,Grass,http://calscape.org/Bromus-carinatus-(California-Brome-Grass)
Bromus carinatus var. carinatus,Mountain Brome,,Grasses,http://calscape.org/Bromus-carinatus-var.-carinatus-(Mountain-Brome)
Bromus ciliatus,Fringed Brome,,Grasses,http://calscape.org/Bromus-ciliatus-(Fringed-Brome)
Bromus grandis,Tall Brome,,Grasses,http://calscape.org/Bromus-grandis-(Tall-Brome)
Bromus laevipes,Woodland Brome,,Grasses,http://calscape.org/Bromus-laevipes-(Woodland-Brome)
Bromus maritimus,Maritime Brome,,Grasses,http://calscape.org/Bromus-maritimus-(Maritime-Brome)
Bromus orcuttianus,Orcutt's Brome,,Grasses,http://calscape.org/Bromus-orcuttianus-(Orcutt's-Brome)
Bromus porteri,Nodding Brome,,Grasses,http://calscape.org/Bromus-porteri-(Nodding-Brome)
Bromus sitchensis,Sitka Brome,,Grasses,http://calscape.org/Bromus-sitchensis-(Sitka-Brome)
Bromus suksdorfii,Suksdorf's Brome,,Grasses,http://calscape.org/Bromus-suksdorfii-(Suksdorf's-Brome)
Bromus vulgaris,Common Brome,,Grasses,http://calscape.org/Bromus-vulgaris-(Common-Brome)
Buddleja utahensis,Panamint Butterfly Bush,,Shrub,http://calscape.org/Buddleja-utahensis-(Panamint-Butterfly-Bush)
Bulbostylis capillaris,Thread-leaved Beakseed,,Grasses,http://calscape.org/Bulbostylis-capillaris-(Thread-leaved-Beakseed)
Bursera microphylla,Elephant Tree,,"Tree,Succulent",http://calscape.org/Bursera-microphylla-(Elephant-Tree)
Cacaliopsis nardosmia,Cut Leaf Cacaliopsis,,Perennial herb,http://calscape.org/Cacaliopsis-nardosmia-(Cut-Leaf-Cacaliopsis)
Calamagrostis bolanderi,Bolander's Reedgrass,,Grasses,http://calscape.org/Calamagrostis-bolanderi-(Bolander's-Reedgrass)
Calamagrostis breweri,Short Hair Reed Grass,,Grasses,http://calscape.org/Calamagrostis-breweri-(Short-Hair-Reed-Grass)
Calamagrostis canadensis,Canada Reedgrass,,Grasses,http://calscape.org/Calamagrostis-canadensis-(Canada-Reedgrass)
Calamagrostis foliosa,Leafy Reed Grass,,Grasses,http://calscape.org/Calamagrostis-foliosa-(Leafy-Reed-Grass)
Calamagrostis koelerioides,Dense-pine Reed Grass,,Grasses,http://calscape.org/Calamagrostis-koelerioides-(Dense-pine-Reed-Grass)
Calamagrostis nutkaensis,Pacific Reedgrass,,Grasses,http://calscape.org/Calamagrostis-nutkaensis-(Pacific-Reedgrass)
Calamagrostis ophitidis,Serpentine Reed Grass,,Grasses,http://calscape.org/Calamagrostis-ophitidis-(Serpentine-Reed-Grass)
Calamagrostis purpurascens,Purple Reed Grass,,Grasses,http://calscape.org/Calamagrostis-purpurascens-(Purple-Reed-Grass)
Calamagrostis rubescens,Pine Grass,,Grasses,http://calscape.org/Calamagrostis-rubescens-(Pine-Grass)
Calamagrostis stricta,Narrow Hairgrass,,Grasses,http://calscape.org/Calamagrostis-stricta-(Narrow-Hairgrass)
Calamagrostis stricta ssp. inexpansa,Narrow Spiked Reedgrass,,Grasses,http://calscape.org/Calamagrostis-stricta-ssp.-inexpansa-(Narrow-Spiked-Reedgrass)
Calamagrostis stricta ssp. stricta,,,Grasses,http://calscape.org/Calamagrostis-stricta-ssp.-stricta-()
Calandrinia breweri,Brewer's Calandrinia,,Annual herb,http://calscape.org/Calandrinia-breweri-(Brewer's-Calandrinia)
Calandrinia ciliata,Red Maids,,Annual herb,http://calscape.org/Calandrinia-ciliata-(Red-Maids)
Calandrinia menziesii,Red Maids,,Annual herb,http://calscape.org/Calandrinia-menziesii-(Red-Maids)
California macrophylla,Round-leaved Filaree,,Annual herb,http://calscape.org/California-macrophylla-(Round-leaved-Filaree)
Calliandra eriophylla,Fairyduster,,Shrub,http://calscape.org/Calliandra-eriophylla-(Fairyduster)
Calliscirpus criniger,,,Grasses,http://calscape.org/Calliscirpus-criniger-()
Callitriche fassettii,,,Perennial herb,http://calscape.org/Callitriche-fassettii-()
Callitriche heterophylla,,,Perennial herb,http://calscape.org/Callitriche-heterophylla-()
Callitriche heterophylla var. bolanderi,,,Annual herb,http://calscape.org/Callitriche-heterophylla-var.-bolanderi-()
Callitriche marginata,,,Annual herb,http://calscape.org/Callitriche-marginata-()
Callitriche palustris,,,Annual herb,http://calscape.org/Callitriche-palustris-()
Callitropsis nootkatensis,Alaska Cedar,,Tree,http://calscape.org/Callitropsis-nootkatensis-(Alaska-Cedar)
Calocedrus decurrens,Incense Cedar,,Tree,http://calscape.org/Calocedrus-decurrens-(Incense-Cedar)
Calochortus albus,White Globe Lily,,Perennial herb,http://calscape.org/Calochortus-albus-(White-Globe-Lily)
Calochortus albus var. rubellus,Pink Fairy Lantern,,Perennial herb,http://calscape.org/Calochortus-albus-var.-rubellus-(Pink-Fairy-Lantern)
Calochortus amabilis,Golden Globelily,,Perennial herb,http://calscape.org/Calochortus-amabilis-(Golden-Globelily)
Calochortus amoenus,Purple Fairy Lantern,,Perennial herb,http://calscape.org/Calochortus-amoenus-(Purple-Fairy-Lantern)
Calochortus argillosus,Clay Mariposa Lily,,Perennial herb,http://calscape.org/Calochortus-argillosus-(Clay-Mariposa-Lily)
Calochortus bruneaunis,Pinyon Mariposa,,Perennial herb,http://calscape.org/Calochortus-bruneaunis-(Pinyon-Mariposa)
Calochortus catalinae,Catalina Mariposa Lily,,Perennial herb,http://calscape.org/Calochortus-catalinae-(Catalina-Mariposa-Lily)
Calochortus clavatus,Clubhair Mariposa Lily,,Perennial herb,http://calscape.org/Calochortus-clavatus-(Clubhair-Mariposa-Lily)
Calochortus clavatus var. avius,Pleasant Valley Mariposa Lily,,Perennial herb,http://calscape.org/Calochortus-clavatus-var.-avius-(Pleasant-Valley-Mariposa-Lily)
Calochortus clavatus var. clavatus,Club Haired Mariposa Lily,,Perennial herb,http://calscape.org/Calochortus-clavatus-var.-clavatus-(Club-Haired-Mariposa-Lily)
Calochortus clavatus var. gracilis,Slender Mariposa Lily,,Perennial herb,http://calscape.org/Calochortus-clavatus-var.-gracilis-(Slender-Mariposa-Lily)
Calochortus clavatus var. pallidus,Pale Yellow Mariposa,,Perennial herb,http://calscape.org/Calochortus-clavatus-var.-pallidus-(Pale-Yellow-Mariposa)
Calochortus clavatus var. recurvifolius,Arroyo De La Cruz Mariposa Lily,,Perennial herb,http://calscape.org/Calochortus-clavatus-var.-recurvifolius-(Arroyo-De-La-Cruz-Mariposa-Lily)
Calochortus coeruleus,Blue Star Tulip,,Perennial herb,http://calscape.org/Calochortus-coeruleus-(Blue-Star-Tulip)
Calochortus concolor,Golden Bowl Mariposa,,Perennial herb,http://calscape.org/Calochortus-concolor-(Golden-Bowl-Mariposa)
Calochortus dunnii,Dunn's Mariposa Lily,,Perennial herb,http://calscape.org/Calochortus-dunnii-(Dunn's-Mariposa-Lily)
Calochortus elegans,Cat's Ear,,Perennial herb,http://calscape.org/Calochortus-elegans-(Cat's-Ear)
Calochortus excavatus,Inyo County Star-tulip,,Perennial herb,http://calscape.org/Calochortus-excavatus-(Inyo-County-Star-tulip)
Calochortus fimbriatus,Weed's Mariposa Lily,,Perennial herb,http://calscape.org/Calochortus-fimbriatus-(Weed's-Mariposa-Lily)
Calochortus flexuosus,,,Perennial herb,http://calscape.org/Calochortus-flexuosus-()
Calochortus greenei,Greene's Mariposa Lily,,Perennial herb,http://calscape.org/Calochortus-greenei-(Greene's-Mariposa-Lily)
Calochortus invenustus,Plain Mariposa Lily,,Perennial herb,http://calscape.org/Calochortus-invenustus-(Plain-Mariposa-Lily)
Calochortus kennedyi,Desert Mariposa Lily,,Perennial herb,http://calscape.org/Calochortus-kennedyi-(Desert-Mariposa-Lily)
Calochortus kennedyi var. kennedyi,,,Perennial herb,http://calscape.org/Calochortus-kennedyi-var.-kennedyi-()
Calochortus kennedyi var. munzii,,,Perennial herb,http://calscape.org/Calochortus-kennedyi-var.-munzii-()
Calochortus leichtlinii,Leichtlin's Mariposa Lily,,Perennial herb,http://calscape.org/Calochortus-leichtlinii-(Leichtlin's-Mariposa-Lily)
Calochortus longebarbatus,Longbeard Mariposa Lily,,Perennial herb,http://calscape.org/Calochortus-longebarbatus-(Longbeard-Mariposa-Lily)
Calochortus longebarbatus var. longebarbatus,Long Haired Star Tulip,,Perennial herb,http://calscape.org/Calochortus-longebarbatus-var.-longebarbatus-(Long-Haired-Star-Tulip)
Calochortus luteus,Yellow Mariposa Lily,,Perennial herb,http://calscape.org/Calochortus-luteus-(Yellow-Mariposa-Lily)
Calochortus macrocarpus,Sagebrush Mariposa,,Perennial herb,http://calscape.org/Calochortus-macrocarpus-(Sagebrush-Mariposa)
Calochortus minimus,,,Perennial herb,http://calscape.org/Calochortus-minimus-()
Calochortus monophyllus,Yellow Star Tulip,,Perennial herb,http://calscape.org/Calochortus-monophyllus-(Yellow-Star-Tulip)
Calochortus nudus,Naked Mariposa,,Perennial herb,http://calscape.org/Calochortus-nudus-(Naked-Mariposa)
Calochortus obispoensis,San Luis Mariposa Lily,,Perennial herb,http://calscape.org/Calochortus-obispoensis-(San-Luis-Mariposa-Lily)
Calochortus palmeri,Palmer's Mariposa Lily,,Perennial herb,http://calscape.org/Calochortus-palmeri-(Palmer's-Mariposa-Lily)
Calochortus palmeri var. munzii,Munz's Mariposa Lily,,Perennial herb,http://calscape.org/Calochortus-palmeri-var.-munzii-(Munz's-Mariposa-Lily)
Calochortus palmeri var. palmeri,Palmer's Mariposa Lily,,Perennial herb,http://calscape.org/Calochortus-palmeri-var.-palmeri-(Palmer's-Mariposa-Lily)
Calochortus panamintensis,Panamint Mariposa Lily,,Perennial herb,http://calscape.org/Calochortus-panamintensis-(Panamint-Mariposa-Lily)
Calochortus persistens,Siskiyou Mariposa Lily,,Perennial herb,http://calscape.org/Calochortus-persistens-(Siskiyou-Mariposa-Lily)
Calochortus plummerae,Plummer's Mariposa Lily,,Perennial herb,http://calscape.org/Calochortus-plummerae-(Plummer's-Mariposa-Lily)
Calochortus pulchellus,Mt. Diablo Fairy Lantern,,Perennial herb,http://calscape.org/Calochortus-pulchellus-(Mt.-Diablo-Fairy-Lantern)
Calochortus raichei,The Cedars Fairy-lantern,,Perennial herb,http://calscape.org/Calochortus-raichei-(The-Cedars-Fairy-lantern)
Calochortus simulans,San Luis Obispo Mariposa Lily,,Perennial herb,http://calscape.org/Calochortus-simulans-(San-Luis-Obispo-Mariposa-Lily)
Calochortus splendens,Splendid Mariposa Lily,,Perennial herb,http://calscape.org/Calochortus-splendens-(Splendid-Mariposa-Lily)
Calochortus striatus,Alkali Mariposa Lily,,Perennial herb,http://calscape.org/Calochortus-striatus-(Alkali-Mariposa-Lily)
Calochortus superbus,Yellow Mariposa,,Perennial herb,http://calscape.org/Calochortus-superbus-(Yellow-Mariposa)
Calochortus syntrophus,Callahan's Mariposa Lily,,Perennial herb,http://calscape.org/Calochortus-syntrophus-(Callahan's-Mariposa-Lily)
Calochortus tiburonensis,Tiburon Mariposa Lily,,Perennial herb,http://calscape.org/Calochortus-tiburonensis-(Tiburon-Mariposa-Lily)
Calochortus tolmiei,Tolmie's Star Tulip,,Perennial herb,http://calscape.org/Calochortus-tolmiei-(Tolmie's-Star-Tulip)
Calochortus umbellatus,Oakland Star Tulip,,Perennial herb,http://calscape.org/Calochortus-umbellatus-(Oakland-Star-Tulip)
Calochortus uniflorus,Large Flowered Star Tulip,,Perennial herb,http://calscape.org/Calochortus-uniflorus-(Large-Flowered-Star-Tulip)
Calochortus venustus,Butterfly Mariposa,,Perennial herb,http://calscape.org/Calochortus-venustus-(Butterfly-Mariposa)
Calochortus vestae,Coast Range Mariposa Lily,,Perennial herb,http://calscape.org/Calochortus-vestae-(Coast-Range-Mariposa-Lily)
Calochortus weedii,Weed's Mariposa Lily,,Perennial herb,http://calscape.org/Calochortus-weedii-(Weed's-Mariposa-Lily)
Calochortus weedii var. intermedius,Intermediate Mariposa Lily,,Perennial herb,http://calscape.org/Calochortus-weedii-var.-intermedius-(Intermediate-Mariposa-Lily)
Calochortus weedii var. weedii,Weed's Mariposa Lily,,Perennial herb,http://calscape.org/Calochortus-weedii-var.-weedii-(Weed's-Mariposa-Lily)
Calochortus westonii,Shirley Meadows Star-tulip,,Perennial herb,http://calscape.org/Calochortus-westonii-(Shirley-Meadows-Star-tulip)
Caltha leptosepala,Marsh Marigold,,Perennial herb,http://calscape.org/Caltha-leptosepala-(Marsh-Marigold)
Calycadenia fremontii,,,Annual herb,http://calscape.org/Calycadenia-fremontii-()
Calycadenia hooveri,Hoover's Calycadenia,,Annual herb,http://calscape.org/Calycadenia-hooveri-(Hoover's-Calycadenia)
Calycadenia micrantha,Small-flowered Calycadenia,,Annual herb,http://calscape.org/Calycadenia-micrantha-(Small-flowered-Calycadenia)
Calycadenia mollis,,,Annual herb,http://calscape.org/Calycadenia-mollis-()
Calycadenia multiglandulosa,Sticky Calycadenia,,Annual herb,http://calscape.org/Calycadenia-multiglandulosa-(Sticky-Calycadenia)
Calycadenia oppositifolia,Butte County Calycadenia,,Annual herb,http://calscape.org/Calycadenia-oppositifolia-(Butte-County-Calycadenia)
Calycadenia pauciflora,,,Annual herb,http://calscape.org/Calycadenia-pauciflora-()
Calycadenia spicata,,,Annual herb,http://calscape.org/Calycadenia-spicata-()
Calycadenia truncata,Rosin Weed,,Annual herb,http://calscape.org/Calycadenia-truncata-(Rosin-Weed)
Calycadenia villosa,Dwarf Calycadenia,,Annual herb,http://calscape.org/Calycadenia-villosa-(Dwarf-Calycadenia)
Calycanthus occidentalis,Spice Bush,,Shrub,http://calscape.org/Calycanthus-occidentalis-(Spice-Bush)
Calycoseris parryi,Yellow Tack-stem,,Annual herb,http://calscape.org/Calycoseris-parryi-(Yellow-Tack-stem)
Calycoseris wrightii,White Tack-stem,,Annual herb,http://calscape.org/Calycoseris-wrightii-(White-Tack-stem)
Calypso bulbosa,Fairy Slipper,,Perennial herb,http://calscape.org/Calypso-bulbosa-(Fairy-Slipper)
Calyptridium monandrum,Pussy Paws,,"Annual herb,Perennial herb",http://calscape.org/Calyptridium-monandrum-(Pussy-Paws)
Calyptridium monospermum,One Seeded Pussypaws,,"Annual herb,Perennial herb",http://calscape.org/Calyptridium-monospermum-(One-Seeded-Pussypaws)
Calyptridium parryi,,,"Annual herb,Perennial herb",http://calscape.org/Calyptridium-parryi-()
Calyptridium parryi var. nevadense,,,"Annual herb,Perennial herb",http://calscape.org/Calyptridium-parryi-var.-nevadense-()
Calyptridium parryi var. parryi,,,"Annual herb,Perennial herb",http://calscape.org/Calyptridium-parryi-var.-parryi-()
Calyptridium pulchellum,Mariposa Pussypaws,,"Annual herb,Perennial herb",http://calscape.org/Calyptridium-pulchellum-(Mariposa-Pussypaws)
Calyptridium pygmaeum,Pygmy Pussypaws,,"Annual herb,Perennial herb",http://calscape.org/Calyptridium-pygmaeum-(Pygmy-Pussypaws)
Calyptridium quadripetalum,Four-petaled Pussypaws,,"Annual herb,Perennial herb",http://calscape.org/Calyptridium-quadripetalum-(Four-petaled-Pussypaws)
Calyptridium roseum,Rosy Calyptridium,,"Annual herb,Perennial herb",http://calscape.org/Calyptridium-roseum-(Rosy-Calyptridium)
Calyptridium umbellatum,Pussy Paws,,"Annual herb,Perennial herb",http://calscape.org/Calyptridium-umbellatum-(Pussy-Paws)
Calystegia atriplicifolia,,,Perennial herb,http://calscape.org/Calystegia-atriplicifolia-()
Calystegia atriplicifolia ssp. buttensis,Butte County Morning-glory,,Perennial herb,http://calscape.org/Calystegia-atriplicifolia-ssp.-buttensis-(Butte-County-Morning-glory)
Calystegia collina,,,Perennial herb,http://calscape.org/Calystegia-collina-()
Calystegia collina ssp. collina,,,Perennial herb,http://calscape.org/Calystegia-collina-ssp.-collina-()
Calystegia collina ssp. oxyphylla,Mount Saint Helena Morning-glory,,Perennial herb,http://calscape.org/Calystegia-collina-ssp.-oxyphylla-(Mount-Saint-Helena-Morning-glory)
Calystegia collina ssp. tridactylosa,Three-fingered Morning-glory,,Perennial herb,http://calscape.org/Calystegia-collina-ssp.-tridactylosa-(Three-fingered-Morning-glory)
Calystegia collina ssp. venusta,South Coast Range Morning-glory,,Perennial herb,http://calscape.org/Calystegia-collina-ssp.-venusta-(South-Coast-Range-Morning-glory)
Calystegia longipes,,,Perennial herb,http://calscape.org/Calystegia-longipes-()
Calystegia macrostegia,Island Morning Glory,,"Vine,Perennial herb",http://calscape.org/Calystegia-macrostegia-(Island-Morning-Glory)
Calystegia macrostegia ssp. amplissima,Island Morning-glory,,Perennial herb,http://calscape.org/Calystegia-macrostegia-ssp.-amplissima-(Island-Morning-glory)
Calystegia macrostegia ssp. arida,Southern California Morning Glory,,"Vine,Perennial herb",http://calscape.org/Calystegia-macrostegia-ssp.-arida-(Southern-California-Morning-Glory)
Calystegia macrostegia ssp. cyclostegia,Coast Morning Glory,,"Vine,Perennial herb",http://calscape.org/Calystegia-macrostegia-ssp.-cyclostegia-(Coast-Morning-Glory)
Calystegia macrostegia ssp. intermedia,,,"Vine,Perennial herb",http://calscape.org/Calystegia-macrostegia-ssp.-intermedia-()
Calystegia macrostegia ssp. macrostegia,Island Morning Glory,,"Vine,Perennial herb",http://calscape.org/Calystegia-macrostegia-ssp.-macrostegia-(Island-Morning-Glory)
Calystegia macrostegia ssp. tenuifolia,Island False Bindweed,,"Vine,Perennial herb",http://calscape.org/Calystegia-macrostegia-ssp.-tenuifolia-(Island-False-Bindweed)
Calystegia malacophylla,Sierra False Bindweed,,Perennial herb,http://calscape.org/Calystegia-malacophylla-(Sierra-False-Bindweed)
Calystegia malacophylla ssp. malacophylla,,,Perennial herb,http://calscape.org/Calystegia-malacophylla-ssp.-malacophylla-()
Calystegia malacophylla ssp. pedicellata,Jepson's Morning Glory,,Perennial herb,http://calscape.org/Calystegia-malacophylla-ssp.-pedicellata-(Jepson's-Morning-Glory)
Calystegia occidentalis,Chaparral False Bindweed,,Perennial herb,http://calscape.org/Calystegia-occidentalis-(Chaparral-False-Bindweed)
Calystegia occidentalis ssp. fulcrata,,,Perennial herb,http://calscape.org/Calystegia-occidentalis-ssp.-fulcrata-()
Calystegia occidentalis ssp. occidentalis,,,Perennial herb,http://calscape.org/Calystegia-occidentalis-ssp.-occidentalis-()
Calystegia occidentalis var. tomentella,Kern Morning Glory,,Perennial herb,http://calscape.org/Calystegia-occidentalis-var.-tomentella-(Kern-Morning-Glory)
Calystegia peirsonii,Peirson's Morning-glory,,Perennial herb,http://calscape.org/Calystegia-peirsonii-(Peirson's-Morning-glory)
Calystegia purpurata,Morning Glory,,Perennial herb,http://calscape.org/Calystegia-purpurata-(Morning-Glory)
Calystegia purpurata ssp. purpurata,Purple Western Morning Glory,,Perennial herb,http://calscape.org/Calystegia-purpurata-ssp.-purpurata-(Purple-Western-Morning-Glory)
Calystegia purpurata ssp. saxicola,Coastal Bluff Morning-glory,,Perennial herb,http://calscape.org/Calystegia-purpurata-ssp.-saxicola-(Coastal-Bluff-Morning-glory)
Calystegia sepium,,,Perennial herb,http://calscape.org/Calystegia-sepium-()
Calystegia sepium ssp. binghamiae,Santa Barbara Morning-glory,,Perennial herb,http://calscape.org/Calystegia-sepium-ssp.-binghamiae-(Santa-Barbara-Morning-glory)
Calystegia sepium ssp. limnophila,,,Perennial herb,http://calscape.org/Calystegia-sepium-ssp.-limnophila-()
Calystegia soldanella,Beach Morningglory,,Perennial herb,http://calscape.org/Calystegia-soldanella-(Beach-Morningglory)
Calystegia stebbinsii,Stebbins' Morning-glory,,Perennial herb,http://calscape.org/Calystegia-stebbinsii-(Stebbins'-Morning-glory)
Calystegia subacaulis,,,Perennial herb,http://calscape.org/Calystegia-subacaulis-()
Calystegia subacaulis ssp. episcopalis,Cambria Morning-glory,,Perennial herb,http://calscape.org/Calystegia-subacaulis-ssp.-episcopalis-(Cambria-Morning-glory)
Calystegia subacaulis ssp. subacaulis,,,Perennial herb,http://calscape.org/Calystegia-subacaulis-ssp.-subacaulis-()
Camassia leichtlinii,Large Camas,,Perennial herb,http://calscape.org/Camassia-leichtlinii-(Large-Camas)
